Pathway	DA_score	Increase_members_num	Decrease_members_num	Measured_members_num	Increase_member_result	Decrease_member_result	Measure_member_result	KEGG_pathwayid	Pathway Category
Glycosphingolipid biosynthesis - lacto and neolacto series	0.148148148148148	5	1	27	B3GALT1;ST3GAL3;FUT4;FUT7;ST3GAL6	FUT1	B3GNT5;B3GALT1;B3GALT2;B3GALT5;FUT1;FUT2;FUT3;ST3GAL3;ST3GAL4;ABO;B4GALT1;B4GALT2;B4GALT3;B4GALT4;FUT9;FUT4;FUT5;FUT6;FUT7;ST3GAL6;ST8SIA1;A4GALT;B3GALNT1;B3GNT2;B3GNT3;B3GNT4;GCNT2	hsa00601	Glycan biosynthesis and metabolism
Starch and sucrose metabolism	0.151515151515152	5	0	33	GAA;GANC;GYG1;AMY2B;HK3		MGAM;GAA;GANC;SI;UGP2;ENPP1;ENPP3;GYS2;GYS1;GYG1;GYG2;GBE1;PYGL;PYGM;PYGB;AGL;AMY1C;AMY2A;AMY1A;AMY2B;AMY1B;TREH;PGM1;PGM2;HK3;HK1;HK2;HKDC1;GCK;G6PC2;G6PC3;PGM2L1;GPI	hsa00500	Carbohydrate metabolism
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	0.16	5	1	25	DPM2;PIGV;PIGG;GPAA1;MPPE1	GPLD1	PIGA;PIGC;PIGH;PIGP;PIGQ;DPM2;PIGL;PIGW;GPLD1;PIGM;PIGX;PIGV;PIGN;PIGB;PIGO;PIGF;PIGG;GPAA1;PIGK;PIGS;PIGT;PIGU;PGAP1;MPPE1;PIGZ	hsa00563	Glycan biosynthesis and metabolism
Pyrimidine metabolism	0.160714285714286	12	3	56	UCK1;NT5C1A;UPP2;UPP1;CDA;HDDC2;DTYMK;TYMP;TK2;TK1;DPYD;UPB1	NME7;NT5M;NT5C3A	CAD;DHODH;UMPS;CMPK1;CMPK2;NME6;NME7;NME4;NME1;NME3;NME1-NME2;AK9;ENTPD3;ENTPD8;ENTPD1;CANT1;ENTPD4;ENTPD5;ENTPD6;ENPP1;ENPP3;ASMTL;NUDT2;CTPS1;CTPS2;UCK1;UCK2;UCKL1;NT5C2;NT5C1A;NT5C1B;NT5C;NT5M;NT5DC4;NT5E;UPP2;UPP1;NT5C3A;NT5C3B;CDA;RRM1;RRM2B;RRM2;DCTPP1;HDDC2;DCK;DCTD;DTYMK;DUT;TYMP;TK2;TK1;TYMS;DPYD;DPYS;UPB1	hsa00240	Nucleotide metabolism
N-Glycan biosynthesis	0.163265306122449	10	2	49	DOLK;ALG13;DPM2;DPM3;ALG3;RPN1;MOGS;MAN1B1;MAN1C1;MGAT4C	ALG9;MGAT3	SRD5A3;DOLK;DPAGT1;ALG5;ALG13;ALG14;DPM1;DPM2;DPM3;ALG1;ALG2;ALG11;ALG3;ALG9;ALG12;ALG6;ALG8;ALG10;ALG10B;STT3A;STT3B;RPN1;RPN2;DAD1;TUSC3;DDOST;DOLPP1;MOGS;GANAB;MAN1B1;MAN1A2;MAN1C1;MAN1A1;MGAT1;MAN2A1;MAN2A2;MGAT2;FUT8;B4GALT1;B4GALT2;B4GALT3;ST6GAL1;ST6GAL2;MGAT3;MGAT4A;MGAT4B;MGAT5;MGAT5B;MGAT4C	hsa00510	Glycan biosynthesis and metabolism
Citrate cycle (TCA cycle)	0.166666666666667	5	0	30	IDH2;IDH3A;OGDHL;SUCLG2;MDH2		CS;ACLY;ACO2;ACO1;IDH1;IDH2;IDH3B;IDH3G;IDH3A;OGDHL;OGDH;DLST;DLD;SUCLG1;SUCLG2;SUCLA2;SDHA;SDHB;SDHC;SDHD;FH;MDH1;MDH2;PC;PCK1;PCK2;PDHA2;PDHA1;PDHB;DLAT	hsa00020	Carbohydrate metabolism
Phenylalanine, tyrosine and tryptophan biosynthesis	0.166666666666667	1	0	6	IL4I1		GOT1;GOT1L1;GOT2;TAT;IL4I1;PAH	hsa00400	Amino acid metabolism
Folate biosynthesis	0.166666666666667	4	0	24	GCH1;PCBD1;MOCS1;MOCOS		GCH1;ALPL;ALPI;ALPP;DHFR;FPGS;GGH;PTS;SPR;AKR1B1;AKR1B10;CBR1;AKR1C3;QDPR;PCBD2;PCBD1;PAH;TH;TPH2;TPH1;MOCS1;MOCS2;GPHN;MOCOS	hsa00790	Metabolism of cofactors and vitamins
Caffeine metabolism	0.166666666666667	1	0	6	NAT1		CYP1A2;NAT2;NAT1;CYP2A6;CYP2A7;XDH	hsa00232	Biosynthesis of other secondary metabolites
Fructose and mannose metabolism	0.172413793103448	6	1	29	PMM1;GMPPB;GMPPA;HK3;FBP1;PFKFB1	SORD	MPI;PMM2;PMM1;GMPPB;GMPPA;GMDS;FPGT;ENOSF1;HK3;HK1;HK2;HKDC1;PFKM;PFKP;PFKL;FBP1;FBP2;PFKFB1;PFKFB2;PFKFB3;PFKFB4;KHK;SORD;AKR1B1;AKR1B10;ALDOC;ALDOA;ALDOB;TPI1	hsa00051	Carbohydrate metabolism
Fatty acid elongation	0.173913043478261	6	2	23	PPT1;ELOVL3;ELOVL4;TECR;ACOT4;ACOT1	ELOVL7;ACOT7	ACAA2;HADHB;HADH;HADHA;ECHS1;MECR;PPT1;PPT2;ELOVL1;ELOVL2;ELOVL3;ELOVL4;ELOVL5;ELOVL6;ELOVL7;HSD17B12;TECR;ACOT4;ACOT2;ACOT1;ACOT7;THEM4;THEM5	hsa00062	Lipid metabolism
Primary bile acid biosynthesis	0.176470588235294	3	0	17	CYP46A1;CYP27A1;SCP2		CYP46A1;CYP39A1;HSD3B7;CH25H;CYP7B1;CYP7A1;CYP27A1;CYP8B1;AKR1D1;AKR1C4;SLC27A5;AMACR;ACOX2;HSD17B4;SCP2;ACOT8;BAAT	hsa00120	Lipid metabolism
