logFC	AveExpr	t	P.Value	adj.P.Val	B	logP	name
0.439469844444445	6.00242324545455	3.53696757545192	0.00113094538745306	0.254462712176939	-0.959516442679117	0.59437584822793	glucuronate
-0.31427653888889	5.69004323333333	-3.10525774801534	0.00368502805344159	0.353881437222136	-1.87833588504933	0.451142217592575	3-phosphoglycerate
-0.363649966666666	5.3057857030303	-2.86813552411719	0.00684972541999939	0.353881437222136	-2.35765316557234	0.451142217592575	urate
-0.309932963888888	6.14569193636364	-2.8037168491329	0.00807381115574021	0.353881437222136	-2.48422236054937	0.451142217592575	dCMP
0.376974822222222	5.58670598181818	2.76205598853665	0.00897100781257141	0.353881437222136	-2.56518845634103	0.451142217592575	serine
-0.281560762499998	5.42903093030303	-2.71788500132215	0.0100229501394277	0.353881437222136	-2.65024796100918	0.451142217592575	methionine sulfoxide
0.38200742777778	6.22271989393939	2.63851129652862	0.0122055851676686	0.353881437222136	-2.80100249924958	0.451142217592575	C46:1 TAG
-0.298463918055552	5.78539631212121	-2.60355800536696	0.0132994523177031	0.353881437222136	-2.86651064477	0.451142217592575	PEP
-0.183512723611111	5.64866118787879	-2.55290577581518	0.0150453583468812	0.353881437222136	-2.9604591899281	0.451142217592575	betaine
-0.231002131944444	5.38246220606061	-2.51591221758723	0.0164507416743081	0.353881437222136	-3.02832380533602	0.451142217592575	C16:0 CE
0.414025863888892	6.10536946969697	2.46626626511216	0.0185256129398657	0.353881437222136	-3.11838041884703	0.451142217592575	C48:1 TAG
-0.260112756944445	5.35458143636364	-2.45843963870624	0.0188736766518473	0.353881437222136	-3.13246949416488	0.451142217592575	C18:1 CE
0.292777658333333	6.21537139393939	2.39786700761276	0.0217753380868306	0.355151330495163	-3.24049250779892	0.449586554001569	C46:0 TAG
-0.216681655555552	5.3241442030303	-2.39158560514921	0.0220983050085879	0.355151330495163	-3.25159023378862	0.449586554001569	NMMA
-0.204757673611107	5.60868776060606	-2.35379967727088	0.0241343374238986	0.362015061358479	-3.31792833535047	0.441273360602725	C18:0 CE
-0.403080043055555	6.17858806666667	-2.31794797002024	0.0262212150446481	0.362329472588097	-3.38019546065222	0.440896338165893	pantothenate
-0.255295565277779	5.58437242424242	-2.29919991039157	0.0273760045955451	0.362329472588097	-3.41249144487162	0.440896338165893	xanthosine
-0.233706152777775	5.1621514	-2.18853074443135	0.0351707855224216	0.417215935020938	-3.599323116889	0.379639112614872	C20:4 CE
-0.23703120138889	5.85204730606061	-2.18209494264117	0.0356796311806003	0.417215935020938	-3.60998345128841	0.379639112614872	C18:0 LPC
-0.181541043055551	6.14815052727273	-2.16222807140804	0.0372919003988274	0.417215935020938	-3.6427464693423	0.379639112614872	C38:4 PC
0.271186347222224	6.16034382121212	2.14269006748751	0.0389401539352875	0.417215935020938	-3.67475256878494	0.379639112614872	C48:2 TAG
0.390028215277776	6.12729482727273	2.10945708844298	0.0418921412563138	0.426512612110726	-3.72869922413152	0.370068122083542	C48:0 TAG
-0.179776661111109	5.44481681818182	-2.08066121859319	0.0446077608826731	0.426512612110726	-3.77493449466807	0.370068122083542	C18:3 CE
-0.505984054166663	5.84672123636364	-2.07159025140462	0.0454946786251441	0.426512612110726	-3.78940025363246	0.370068122083542	uridine
-0.243988949999999	5.19583387575758	-2.03721393521114	0.0489978105634892	0.440980295071403	-3.84378750485576	0.355580816275817	C18:2 CE
0.250019152777778	6.07374453333333	1.98352653723228	0.0549406663799876	0.4754480744422	-3.92733612082418	0.322896907148477	C50:2 TAG
-0.185951908333329	5.39775135151515	-1.95268039911246	0.0586308662551985	0.483479256862108	-3.97455986013698	0.315622154101297	SDMA/ADMA
-0.312221330555555	5.56201786969697	-1.93509756209761	0.0608288454847253	0.483479256862108	-4.00122040514312	0.315622154101297	ribose-5-P/ribulose5-P
0.297684583333335	6.07444438787879	1.92351648974511	0.0623151042177828	0.483479256862108	-4.01867754245596	0.315622154101297	C50:1 TAG
-0.1538615125	5.39702611515152	-1.90717881872575	0.0644649510500824	0.483487132875618	-4.04316475931395	0.315615079379273	allantoin
-0.174149104166666	6.00445146060606	-1.88459407600813	0.0675416410948447	0.490221588591615	-4.0767438052619	0.30960756701344	C18:2 LPC
-0.157365945833334	5.78930032727273	-1.85515847425075	0.0717398246148462	0.493759059019393	-4.12003197681343	0.306484923272233	proline
0.143455669444445	5.96455451515151	1.83640800055284	0.0745286106603099	0.493759059019393	-4.14732280977759	0.306484923272233	glutamate
-0.187355002777776	5.33042343939394	-1.80063749901738	0.0801051005868139	0.493759059019393	-4.19876726468293	0.306484923272233	C16:1 CE
0.527700397222224	5.56975558181818	1.77677660748355	0.0840181348845534	0.493759059019393	-4.23262805853319	0.306484923272233	2-deoxycytidine
0.185040041666666	6.25419849090909	1.76559896588134	0.0859059378381674	0.493759059019393	-4.24836375004075	0.306484923272233	C46:2 TAG
-0.192242327777778	5.55612195757576	-1.76432648743831	0.0861230948077909	0.493759059019393	-4.25014998868938	0.306484923272233	C20:3 CE
-0.291792959722219	6.49641023939394	-1.75824934003405	0.0871665820755446	0.493759059019393	-4.25866626361218	0.306484923272233	C58:6 TAG
-0.188165984722223	5.51498273333333	-1.74956986636657	0.088675321875586	0.493759059019393	-4.27078766149699	0.306484923272233	citrulline
-0.143048441666665	5.39783546363636	-1.743633001444	0.0897198968370156	0.493759059019393	-4.27905054313059	0.306484923272233	creatinine
-0.13914146388889	5.8013242030303	-1.74219829058027	0.0899738729768672	0.493759059019393	-4.28104390680791	0.306484923272233	C14:0 CE
